"rank","title","artist"
"1","Pablo","Rvssian & Sfera Ebbasta"
"2","Amore E Capoeira","Takagi & Ketra, Giusy Ferreri & Sean Kingston"
"3","Da Zero A Cento","Baby K"
"4","Nera","Irama"
"5","Felicita Puttana","Thegiornalisti"
"6","Fotografia","Carl Brave, Francesca Michielin & Fabri Fibra"
"7","Italiana","J-AX & Fedez"
"8","Faccio Quello Che Voglio","Fabio Rovazzi"
"9","In My Feelings","Drake"
"10","Non Ti Dico No","BoomDaBash & Loredana Berte"
"11","La Cintura","Alvaro Soler"
"12","One Kiss","Calvin Harris & Dua Lipa"
"13","Girls Like You","Maroon 5 & Cardi B"
"14","Tesla","Capo Plaza, Sfera Ebbasta & DrefGold"
"15","Nero Bali","Elodie, Michele Bravi & Cue Pequeno"
"16","X","Nicky Jam & J Balvin"
"17","Davide","Gemitaiz & Coez"
"18","Moscow Mule","Benji & Fede"
"19","Te Bote","Nio Garcia, Casper, Darell, Nicky Jam, Bad Bunny & Ozuna"
"20","Moriro Da Re","Maneskin"
