"rank","title","artist"
"1","Jerusalema","Master KG Featuring Burna Boy & Nomcebo Zikode"
"2","Karaoke","BoomDaBash & Alessandra Amoroso"
"3","A Un Passo Dalla Luna","Rocco Hunt X Ana Mena"
"4","Hypnotized","Purple Disco Machine & Sophie And The Giants"
"5","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
"6","Ciclone","Takagi & Ketra & Elodie Featuring Mariah, Gipsy Kings, Nicolas Reyes & Tonino Baliardo"
"7","Breaking Me","Topic & A7S"
"8","Paloma","Fred de Palma Featuring Anitta"
"9","Mediterranea","Irama"
"10","Non Mi Basta Piu","Baby K Specail Guest Chiara Ferragni"
